trains,instances,setting,grounding,global,timeouts,rules,variables,constraints
2,70,mapf,3.072,8.939,0,801516,298688,767748
3,70,mapf,4.500,81.092,0,1189088,427171,1130507
4,70,mapf,6.004,483.936,8,1600794,547378,1484530
5,70,mapf,7.508,1069.214,31,2011070,644632,1774885
6,70,mapf,9.326,1378.099,56,2462364,755469,2118716
7,10,mapf,10.370,1500.006,10,2486713,845793,2223014
2,70,drive-edge,38.928,86.384,0,10424661,4250093,21649502
3,70,drive-edge,81.752,201.340,0,21709988,7309423,41164599
4,70,drive-edge,139.163,585.589,8,35679753,10507063,62477860
5,70,drive-edge,190.593,468.848,4,25063841,12968607,40274980
6,70,drive-edge,246.351,580.682,10,28215589,15212880,43269829
7,10,drive-edge,260.381,286.131,0,8685563,7852626,11475302
2,70,drive-subnodes,19.695,20.175,0,4545471,2004087,10059450
3,70,drive-subnodes,45.235,47.412,0,10757686,3413388,20093834
4,70,drive-subnodes,82.510,133.481,1,19682594,4964144,33211557
5,70,drive-subnodes,129.503,196.189,2,29441568,6306472,45867073
6,70,drive-subnodes,183.197,306.338,6,33287181,7631051,48155418
7,10,drive-subnodes,234.973,462.401,1,38357113,8967436,52883832
2,70,drive-hyper,36.401,50.061,0,9371445,3932519,19886951
3,70,drive-hyper,79.615,119.250,0,19907260,6851270,38352250
4,70,drive-hyper,140.435,333.844,5,32704159,9805305,58390218
5,70,drive-hyper,190.286,273.115,3,26650172,12167195,43820106
6,70,drive-hyper,243.019,296.167,1,28711553,14083026,44824302
7,10,drive-hyper,235.960,252.364,0,7956530,7324500,10824910
2,70,compact-edge,10.150,15.877,0,3054207,1069491,5185702
3,70,compact-edge,17.833,34.461,0,5056110,1838336,8959021
4,70,compact-edge,26.404,79.468,0,7153302,2654786,12875913
5,70,compact-edge,34.028,134.057,0,8979297,3258336,15936979
6,70,compact-edge,41.954,167.963,0,11037773,4007650,19662037
7,10,compact-edge,50.921,263.938,0,12926592,4706535,23073121
2,70,compact-subnodes,2.709,2.982,0,549976,424274,1567199
3,70,compact-subnodes,4.542,5.946,0,962308,719001,2705885
4,70,compact-subnodes,6.752,10.846,0,1452521,1054569,4051061
5,70,compact-subnodes,8.559,21.399,0,1885058,1322523,5144478
6,70,compact-subnodes,10.806,53.490,0,2374803,1600443,6313807
7,10,compact-subnodes,12.970,62.971,0,2794791,1879692,7425012
2,70,compact-hyper,9.420,14.123,0,2589444,958859,4242546
3,70,compact-hyper,16.333,40.037,0,4353679,1680912,7452656
4,70,compact-hyper,23.928,80.890,0,6132261,2408997,10722619
5,70,compact-hyper,30.158,124.351,0,7722280,2964260,13294569
6,70,compact-hyper,37.407,291.816,1,9498970,3641840,16426623
7,10,compact-hyper,44.013,511.065,0,11138702,4281980,19301179
2,70,clingo-dl,2.098,2.172,0,377044,287745,1001913
3,70,clingo-dl,6.181,6.619,0,1163338,938140,3313620
4,70,clingo-dl,13.071,13.710,0,2402399,1973698,7014289
5,70,clingo-dl,22.375,23.588,0,4031384,3356750,11966142
6,70,clingo-dl,34.290,36.592,0,6023328,5020315,17905315
7,10,clingo-dl,49.472,51.997,0,8436901,7051733,25170500
2,70,clingo-dl-constraint,2.050,2.102,0,377122,287745,1001913
3,70,clingo-dl-constraint,6.065,6.261,0,1163464,938140,3313620
4,70,clingo-dl-constraint,12.479,12.921,0,2402573,1973698,7014289
5,70,clingo-dl-constraint,21.928,22.754,0,4031604,3356750,11966142
6,70,clingo-dl-constraint,33.187,34.557,0,6023592,5020315,17905315
7,10,clingo-dl-constraint,47.923,49.888,0,8437210,7051733,25170500
2,70,drive-map-edge-functions					,14.143,21.562,0,3916734,1015463,5894601
3,70,drive-map-edge-functions					,31.255,51.789,0,8051826,1749795,11656413
4,70,drive-map-edge-functions					,56.205,106.503,0,13675051,2530988,18833982
5,70,drive-map-edge-functions					,84.533,199.343,0,19846604,3104848,26013117
6,70,drive-map-edge-functions					,121.060,301.901,1,27666366,3820559,35171609
7,10,drive-map-edge-functions					,167.203,417.262,0,36395948,4487331,45057132
2,70,drive-map-subnodes					,5.223,5.512,0,1136731,379174,2039514
3,70,drive-map-subnodes					,13.650,14.954,0,3029738,644694,4559727
4,70,drive-map-subnodes					,27.771,33.060,0,6028460,950722,8271300
5,70,drive-map-subnodes					,44.471,55.490,0,9584841,1193084,12316606
6,70,drive-map-subnodes					,66.032,105.432,0,14141543,1442887,17344854
7,10,drive-map-subnodes					,93.060,297.427,1,19424091,1695011,23080447
2,70,drive-map-hypergraph					,12.603,20.045,0,3371984,907311,4919588
3,70,drive-map-hypergraph					,28.570,50.620,0,7145126,1595705,10067361
4,70,drive-map-hypergraph					,50.776,107.088,0,12156262,2290299,16492005
5,70,drive-map-hypergraph					,76.458,210.815,0,17813024,2816939,23066788
6,70,drive-map-hypergraph					,110.236,390.584,2,24946829,3462213,31477587
7,10,drive-map-hypergraph					,149.356,554.247,0,32942698,4067439,40627369
