trains,instances,system,grounding,global,rules,variables,constraints,timeouts
2,70,dl50,1.995585714,2.154014286,365388.0714,279436.5143,1028389.729,0
3,70,dl50,3.278185714,4.5509,658994.3429,481563.4714,1820593.386,0
4,70,dl50,4.747828571,8.366114286,1005300.386,695920.9,2692896.914,0
5,70,dl50,6.110242857,18.01095714,1332720.486,881389.9286,3481503,0
6,70,dl50,7.569428571,32.068,1702817.8,1063995.057,4289786.286,0
7,10,dl50,8.9822,57.8072,2006442.6,1249812.7,5047721.9,0
2,70,dl25,1.2066,1.238171429,189920.0714,118546.8,410167.1286,0
3,70,dl25,1.833485714,1.936771429,356799.0571,206393.9143,744359.2571,0
4,70,dl25,2.549828571,2.923114286,537554.7,302421.6429,1124990.871,0
5,70,dl25,3.205342857,4.296628571,740366.5714,377099.8143,1462118.486,0
6,70,dl25,3.908414286,5.557557143,961047.2429,454686.2429,1815441.7,0
7,10,dl25,4.5731,6.4301,1162599.6,530863.5,2144440.4,0
2,70,dl75,2.409,2.921285714,498446.5429,391758.2286,1459088.871,0
3,70,dl75,4.0777,6.531557143,880138.8429,667569.7714,2529814.657,0
4,70,dl75,5.969,18.35528571,1332127.814,975393.3143,3768601.857,0
5,70,dl75,7.642571429,28.998,1737480.4,1226370.871,4802260.871,0
6,70,dl75,9.542071429,63.99778571,2194969.143,1483848.771,5900444.743,0
7,10,dl75,11.4144,64.4244,2583779.3,1743221.1,6941525.5,0
2,70,dlhh50,0.5985857143,0.6054428571,54506.55714,31283.95714,99014.77143,0
3,70,dlhh50,1.065442857,1.0923,152054.9714,103288.7714,336212.9857,0
4,70,dlhh50,1.875157143,2.054157143,303084.5,216266.8286,711992.0571,0
5,70,dlhh50,2.931985714,3.269414286,499120.5429,366209.3,1210438.857,0
6,70,dlhh50,4.272157143,4.659728571,734198.4571,542756.4429,1796291.429,0
7,10,dlhh50,5.8521,14.8421,1021121.5,760552.7,2521028.9,0
2,70,dlhh25,0.4201285714,0.4201285714,12551.45714,2783.2,7526.7,0
3,70,dlhh25,0.4532857143,0.4538571429,22613.34286,8495.1,23791.48571,0
4,70,dlhh25,0.5103857143,0.5139571429,36703.28571,17288.04286,48886.92857,0
5,70,dlhh25,0.5890142857,0.5978714286,55393.04286,28449.28571,81482.61429,0
6,70,dlhh25,0.6900285714,0.7043142857,77200.3,41605.82857,119377.1143,0
7,10,dlhh25,0.8263,0.8503,103726.8,57680,166075.5,0
2,70,dlhh75,1.102371429,1.129371429,171254.6714,120255.8286,406296.8143,0
3,70,dlhh75,2.783914286,2.909628571,515808.4857,394156.6,1357754.8,0
4,70,dlhh75,5.670957143,6.109671429,1056887.643,830385.0286,2884475.857,0
5,70,dlhh75,9.578371429,19.28937143,1765921.443,1411168.629,4920191.671,0
6,70,dlhh75,14.23022857,34.16322857,2623604.671,2101985.4,7332797.271,0
7,10,dlhh75,20.449,72.436,3667270.8,2950824.1,10304487.9,0
