"","source","trains","n_timeout","n_total"
"1","ba",2,0,70
"2","ba",3,0,70
"3","ba",4,12,70
"4","ba",5,40,70
"5","ba",6,57,70
"6","ba",7,10,10
"7","ba",NA,NA,9
"8","ma",2,0,70
"9","ma",3,0,70
"10","ma",4,8,70
"11","ma",5,31,70
"12","ma",6,56,70
"13","ma",7,10,10
"14","ma",NA,NA,9
"15","de",2,0,70
"16","de",3,0,70
"17","de",4,8,70
"18","de",5,4,70
"19","de",6,10,70
"20","de",7,0,10
"21","de",NA,NA,9
"22","ds",2,0,70
"23","ds",3,0,70
"24","ds",4,1,70
"25","ds",5,2,70
"26","ds",6,6,70
"27","ds",7,1,10
"28","ds",NA,NA,9
"29","dh",2,0,70
"30","dh",3,0,70
"31","dh",4,5,70
"32","dh",5,3,70
"33","dh",6,1,70
"34","dh",7,0,10
"35","dh",NA,NA,9
"36","me",2,0,70
"37","me",3,0,70
"38","me",4,0,70
"39","me",5,0,70
"40","me",6,1,70
"41","me",7,0,10
"42","me",NA,NA,9
"43","ms",2,0,70
"44","ms",3,0,70
"45","ms",4,0,70
"46","ms",5,0,70
"47","ms",6,0,70
"48","ms",7,1,10
"49","ms",NA,NA,9
"50","mh",2,0,70
"51","mh",3,0,70
"52","mh",4,0,70
"53","mh",5,0,70
"54","mh",6,2,70
"55","mh",7,0,10
"56","mh",NA,NA,9
