instance,status,min_horizon,wall_time_at_min_s,clingo_total_s,clingo_solve_s,n_probes,message
envs/Test_06/Level_0.lp,FOUND,110,9.0632,8.9300,1.4650,8,
envs/Test_06/Level_1.lp,FOUND,279,21.8953,21.5410,2.7950,11,
envs/Test_06/Level_2.lp,ERROR,,,,,4,probe at h=888 returned TIMEOUT
envs/Test_06/Level_3.lp,FOUND,163,10.6884,10.5280,1.7810,9,
envs/Test_06/Level_4.lp,FOUND,143,6.1193,6.0210,0.5160,9,
envs/Test_06/Level_5.lp,FOUND,210,33.8092,33.3500,8.8670,9,
envs/Test_06/Level_6.lp,FOUND,143,8.2683,8.1500,1.4630,9,
envs/Test_06/Level_7.lp,FOUND,157,11.1026,10.9460,2.5890,9,
envs/Test_06/Level_8.lp,FOUND,110,4.2248,4.1650,0.2950,8,
envs/Test_06/Level_9.lp,FOUND,145,10.8223,10.6460,1.2710,9,
