instance,status,min_horizon,wall_time_at_min_s,clingo_total_s,clingo_solve_s,n_probes,message
envs/Test_02/Level_0.lp,FOUND,102,1.0643,1.0400,0.0220,8,
envs/Test_02/Level_1.lp,FOUND,76,0.5088,0.4960,0.0020,7,
envs/Test_02/Level_2.lp,FOUND,57,0.4159,0.4060,0.0010,2,
envs/Test_02/Level_3.lp,FOUND,71,0.5265,0.5140,0.0030,7,
envs/Test_02/Level_4.lp,FOUND,63,0.4593,0.4480,0.0020,5,
envs/Test_02/Level_5.lp,FOUND,57,0.6072,0.5930,0.0140,2,
envs/Test_02/Level_6.lp,FOUND,90,0.5341,0.5210,0.0040,7,
envs/Test_02/Level_7.lp,FOUND,65,0.7198,0.7030,0.0310,5,
envs/Test_02/Level_8.lp,FOUND,68,0.5773,0.5630,0.0040,7,
envs/Test_02/Level_9.lp,FOUND,63,0.5999,0.5850,0.0060,5,
